dediac	original_gold	max_gold	max_gold_alt
النبي	النَّبِيِّ	النَّبِيِّ	
داود	دَاوُدَ	دَاوُدَ	
،	،	،	
ثاني	ثَانِي	ثَانِي	
ملوك	مُلُوكِ	مُلُوكِ	
مملكة	مَمْلَكَةِ	مَمْلَكَةِ	
إسرائيل	إِسْرَائِيلَ	إِسْرَائِيلَ	
،	،	،	
على	عَلَى	عَلَى	
الرغم	الرَّغْمِ	الرَّغْمِ	
من	مِنْ	مِنْ	
أن	أَنَّ	أَنَّ	
خبراء	خُبَرَاءَ	خُبَرَاءَ	
آخرين	آخَرِينَ	آخَرِينَ	
شككوا	شَكَّكُوا	شَكَّكُوا	
في	فِي	فِي	
هذا	هَذَا	هَٰذَا	
الأمر	الْأَمْرِ	الْأَمْرِ	
.	.	.	
أما	أَمَّا	أَمَّا	
عن	عَنْ	عَنِ	
الموقع	الْمَوْقِعِ	الْمَوْقِعِ	
فقد	فَقَدْ	فَقَدْ	
قال	قَالَ	قَالَ	
خبراء	خُبَرَاءُ	خُبَرَاءُ	
آثاريون	آثَارِيُّونَ	آثَارِيُّونَ	
وعلماء	وَعُلَمَاءُ	وَعُلَمَاءُ	
من	مِنْ	مِنَ	
الجامعة	الْجَامِعَةِ	الْجَامِعَةِ	
العبرية	الْعِبْرِيَّةِ	الْعِبْرِيَّةِ	
بالقدس	بِالْقُدْسِ	بِالْقُدْسِ	
أنهم	أَنَّهُمْ	أَنَّهُمْ	
عثروا	عَثَرُوا	عَثَرُوا	
على	عَلَى	عَلَى	
مجمع	مُجَمَّعٍ	مُجَمَّعٍ	
محصن	مُحَصَّنٍ	مُحَصَّنٍ	
في	فِي	فِي	
خربة	خَرِبَةِ	خَرِبَةِ	
قيافا	قَيَافَا	قَيَافَا	
غربي	غَرْبِيَّ	غَرْبِيَّ	
القدس	الْقُدْسِ	الْقُدْسِ	
مرشحين	مُرَشِّحِينَ	مُرَشِّحِينَ	
أنه	أَنَّهُ	أَنَّهُ	
يعود	يَعُودُ	يَعُودُ	
لقصر	لِقَصْرِ	لِقَصْرِ	
النبي	النَّبِيِّ	النَّبِيِّ	
داود	دَاوُدَ	دَاوُدَ	
.	.	.	
			
أشار	أَشَارَ	أَشَارَ	
يوسي	يُوسِي	يُوسِي	
غارفينكل	غَارْفِينْكِلْ	غَارْفِينْكِلْ	
عالم	عَالِمُ	عَالِمُ	
الآثار	الْآثَارِ	الْآثَارِ	
بالجامعة	بِالْجَامِعَةِ	بِالْجَامِعَةِ	
العبرية	الْعِبْرِيَّةِ	الْعِبْرِيَّةِ	
:	:	:	
"	"	"	
كشف	كَشْفُ	كَشْفُ	
خربة	خَرِبَةِ	خَرِبَةِ	
قيافا	قَيَافَا	قَيَافَا	
أفضل	أَفْضَلُ	أَفْضَلُ	
مثال	مِثَالٍ	مِثَالٍ	
للمدينة	لِلْمَدِينَةِ	لِلْمَدِينَةِ	
الحصينة	الْحَصِينَةِ	الْحَصِينَةِ	
في	فِي	فِي	
عهد	عَهْدِ	عَهْدِ	
الملك	الْمَلِكِ	الْمَلِكِ	
داود	دَاوُدَ	دَاوُدَ	
الذي	الَّذِي	الَّذِي	
يرجح	يُرَجَّحُ	يُرَجَّحُ	
أن	أَنْ	أَنْ	
يكون	يَكُونَ	يَكُونَ	
عاش	عَاشَ	عَاشَ	
بها	بِهَا	بِهَا	
شخصيا	شَخْصِيًّا	شَخْصِيًّا	
"	"	"	
.	.	.	
وأشير	وَأُشِيرَ	وَأُشِيرَ	
إلى	إِلَى	إِلَى	
أنه	أَنَّهُ	أَنَّهُ	
عثر	عُثِرَ	عُثِرَ	
في	فِي	فِي	
الموقع	الْمَوْقِعِ	الْمَوْقِعِ	
على	عَلَى	عَلَى	
أدوات	أَدَوَاتٍ	أَدَوَاتٍ	
قديمة	قَدِيمَةٍ	قَدِيمَةٍ	
كان	كَانَ	كَانَ	
اليهود	الْيَهُودُ	الْيَهُودُ	
يستخدمونها	يَسْتَخْدِمُونَهَا	يَسْتَخْدِمُونَهَا	
في	فِي	فِي	
طقوسهم	طُقُوسِهِمْ	طُقُوسِهِمُ	
الدينية	الدِّينِيَّةِ	الدِّينِيَّةِ	
،	،	،	
كما	كَمَا	كَمَا	
عثروا	عَثَرُوا	عَثَرُوا	
على	عَلَى	عَلَى	
مقتنيات	مُقْتَنَيَاتٍ	مُقْتَنَيَاتٍ	
ملكية	مَلَكِيَّةٍ	مَلَكِيَّةٍ	
يحتمل	يُحْتَمَلُ	يُحْتَمَلُ	
أن	أَنْ	أَنْ	
تعود	تَعُودَ	تَعُودَ	
للنبي	لِلنَّبِيِّ	لِلنَّبِيِّ	
داود	دَاوُدَ	دَاوُدَ	
،	،	،	
وعلى	وَعَلَى	وَعَلَى	
عظام	عِظَامِ	عِظَامِ	
حيوانات	حَيَوَانَاتٍ	حَيَوَانَاتٍ	
لا	لَا	لَا	
تشتمل	تَشْتَمِلُ	تَشْتَمِلُ	
على	عَلَى	عَلَى	
عظام	عِظَامِ	عِظَامِ	
خنازير	خَنَازِيرَ	خَنَازِيرَ	
،	،	،	
إذ	إِذْ	إِذْ	
يحرم	يُحَرَّمُ	يُحَرَّمُ	
أكلها	أَكْلُهَا	أَكْلُهَا	
في	فِي	فِي	
اليهودية	الْيَهُودِيَّةِ	الْيَهُودِيَّةِ	
،	،	،	
الأمر	الْأَمْرُ	اَلْأَمْرُ	
الذي	الَّذِي	الَّذِي	
اعتبره	اعْتَبَرَهُ	اعْتَبَرَهُ	
العلماء	الْعُلَمَاءُ	الْعُلَمَاءُ	
دليلا	دَلِيلًا	دَلِيلًا	
لا	لَا	لَا	
يقبل	يَقْبَلُ	يَقْبَلُ	
التأويل	التَّأْوِيلَ	التَّأْوِيلَ	
من	مِنْ	مِنْ	
أن	أَنَّ	أَنَّ	
الموقع	الْمَوْقِعَ	الْمَوْقِعَ	
يرجع	يَرْجِعُ	يَرْجِعُ	
لليهود	لِلْيَهُودِ	لِلْيَهُودِ	
القدماء	الْقُدَمَاءِ	الْقُدَمَاءِ	
،	،	،	
على	عَلَى	عَلَى	
أن	أَنَّ	أَنَّ	
آخرين	آخَرِينَ	آخَرِينَ	
أشاروا	أَشَارُوا	أَشَارُوا	
إلى	إِلَى	إِلَى	
أن	أَنَّ	أَنَّ	
ذلك	ذَلِكَ	ذَٰلِكَ	
غير	غَيْرُ	غَيْرُ	
دقيق	دَقِيقٍ	دَقِيقٍ	
وأن	وَأَنَّ	وَأَنَّ	
الموقع	الْمَوْقِعَ	الْمَوْقِعَ	
يحتمل	يُحْتَمَلُ	يُحْتَمَلُ	
أن	أَنْ	أَنْ	
يتبع	يَتْبَعَ	يَتْبَعَ	
لأي	لِأَيِّ	لِأَيِّ	
حضارة	حَضَارَةٍ	حَضَارَةٍ	
أخرى	أُخْرَى	أُخْرَى	
قامت	قَامَتْ	قَامَتْ	
في	فِي	فِي	
منطقة	مِنْطَقَةِ	مِنْطَقَةِ	
بيت	بَيْتِ	بَيْتِ	
المقدس	الْمَقْدِسِ	الْمَقْدِسِ	
بفلسطين	بِفِلَسْطِينَ	بِفِلَسْطِينَ	
.	.	.	
			
ومن	وَمِنْ	وَمِنَ	
الجدير	الْجَدِيرِ	الْجَدِيرِ	
بالذكر	بِالذِّكْرِ	بِالذِّكْرِ	
أن	أَنَّ	أَنَّ	
عمليات	عَمَلِيَّاتِ	عَمَلِيَّاتِ	
التنقيب	التَّنْقِيبِ	التَّنْقِيبِ	
بالموقع	بِالْمَوْقِعِ	بِالْمَوْقِعِ	
استمرت	اسْتَمَرَّتْ	اسْتَمَرَّتْ	
سبع	سَبْعَ	سَبْعَ	
سنوات	سَنَوَاتٍ	سَنَوَاتٍ	
،	،	،	
وقبلها	وَقَبْلَهَا	وَقَبْلَهَا	
كان	كَانَ	كَانَ	
عالم	عَالِمُ	عَالِمُ	
الآثار	الْآثَارِ	الْآثَارِ	
الإسرائيلي	الْإِسْرَائِيلِيُّ	الْإِسْرَائِيلِيُّ	
إليات	إِلْيَاتْ	إِلْيَاتْ	
مزار	مَزَارْ	مَزَارْ	
قد	قَدْ	قَدْ	
أعلن	أَعْلَنَ	أَعْلَنَ	
في	فِي	فِي	
سنة	سَنَةِ	سَنَةِ	
2005	2005	2005	
م	م	م	
أنه	أَنَّهُ	أَنَّهُ	
كشف	كَشَفَ	كَشَفَ	
موقع	مَوْقِعَ	مَوْقِعَ	
قصر	قَصْرِ	قَصْرِ	
الملك	الْمَلِكِ	الْمَلِكِ	
داود	دَاوُدَ	دَاوُدَ	
،	،	،	
وأشار	وَأَشَارَ	وَأَشَارَ	
إلى	إِلَى	إِلَى	
أنه	أَنَّهُ	أَنَّهُ	
يعود	يَعُودُ	يَعُودُ	
للقرن	لِلْقَرْنِ	لِلْقَرْنِ	
العاشر	الْعَاشِرِ	الْعَاشِرِ	
قبل	قَبْلَ	قَبْلَ	
الميلاد	الْمِيلَادِ	الْمِيلَادِ	
.	.	.	
ويستند	وَيَسْتَنِدُ	وَيَسْتَنِدُ	
العلماء	الْعُلَمَاءُ	الْعُلَمَاءُ	
إلى	إِلَى	إِلَى	
هذه	هَذِهِ	هَٰذِهِ	
القضية	الْقَضِيَّةِ	الْقَضِيَّةِ	
وغيرها	وَغَيْرِهَا	وَغَيْرِهَا	
من	مِنْ	مِنَ	
القضايا	الْقَضَايَا	الْقَضَايَا	
المشابهة	الْمُشَابِهَةِ	الْمُشَابِهَةِ	
للتأكد	لِلتَّأَكُّدِ	لِلتَّأَكُّدِ	
من	مِنْ	مِنْ	
صحة	صِحَّةِ	صِحَّةِ	
القصص	الْقِصَصِ	الْقِصَصِ	
الواردة	الْوَارِدَةِ	الْوَارِدَةِ	
في	فِي	فِي	
التوراة	التَّوْرَاةِ	التَّوْرَاةِ	
.	.	.	
			
وفاة	وَفَاةُ	وَفَاةُ	
الداعية	الدَّاعِيَةِ	الدَّاعِيَةِ	
الإسلامي	الْإِسْلَامِيِّ	الْإِسْلَامِيِّ	
الكويتي	الْكُوَيْتِيِّ	الْكُوَيْتِيِّ	
عبد	عَبْدِ	عَبْدِ	
الرحمن	الرَّحْمَنِ	الرَّحْمَٰنِ	
السميط	السِّمِيطِ	السِّمِيطِ	
			
توفي	تُوُفِّيَ	تُوُفِّيَ	
الداعية	الدَّاعِيَةُ	الدَّاعِيَةُ	
الإسلامي	الْإِسْلَامِيُّ	الْإِسْلَامِيُّ	
الكويتي	الْكُوَيْتِيُّ	الْكُوَيْتِيُّ	
الشهير	الشَّهِيرُ	الشَّهِيرُ	
الدكتور	الدُّكْتُورُ	الدُّكْتُورُ	
عبد	عَبْدُ	عَبْدُ	
الرحمن	الرَّحْمَنِ	الرَّحْمَٰنِ	
السميط	السِّمِيطِ	السِّمِيطِ	
اليوم	الْيَوْمَ	الْيَوْمَ	
عن	عَنْ	عَنْ	
عمر	عُمْرٍ	عُمْرٍ	
يناهز	يُنَاهِزُ	يُنَاهِزُ	
66	66	66	
عاما	عَامًا	عَامًا	
،	،	،	
وذلك	وَذَلِكَ	وَذَٰلِكَ	
بعد	بَعْدَ	بَعْدَ	
صراع	صِرَاعٍ	صِرَاعٍ	
طويل	طَوِيلٍ	طَوِيلٍ	
مرير	مَرِيرٍ	مَرِيرٍ	
مع	مَعَ	مَعَ	
المرض	الْمَرَضِ	الْمَرَضِ	
.	.	.	
وكان	وَكَانَ	وَكَانَ	
لإعلان	لِإِعْلَانِ	لِإِعْلَانِ	
خبر	خَبَرِ	خَبَرِ	
الوفاة	الْوَفَاةِ	الْوَفَاةِ	
أثر	أَثَرٌ	أَثَرٌ	
محزن	مُحْزِنٌ	مُحْزِنٌ	
في	فِي	فِي	
نفوس	نُفُوسِ	نُفُوسِ	
الخليجيين	الْخَلِيجِيِّينَ	الْخَلِيجِيِّينَ	
عموما	عُمُومًا	عُمُومًا	
والكويتيين	وَالْكُوَيْتِيِّينَ	وَالْكُوَيْتِيِّينَ	
خصوصا	خُصُوصًا	خُصُوصًا	
،	،	،	
نظرا	نَظَرًا	نَظَرًا	
لأن	لِأَنَّ	لِأَنَّ	
السميط	السِّمِيطَ	السِّمِيطَ	
كان	كَانَ	كَانَ	
قد	قَدْ	قَدْ	
كرس	كَرَّسَ	كَرَّسَ	
حياته	حَيَاتَهُ	حَيَاتَهُ	
للدعوة	لِلدَّعْوَةِ	لِلدَّعْوَةِ	
إلى	إِلَى	إِلَى	
الإسلام	الْإِسْلَامِ	الْإِسْلَامِ	
في	فِي	فِي	
أفريقيا	أَفْرِيقْيَا	أَفْرِيقْيَا	أَفْرِيقِيَا
وأصاب	وَأَصَابَ	وَأَصَابَ	
في	فِي	فِي	
ذلك	ذَلِكَ	ذَٰلِكَ	
نجاحا	نَجَاحًا	نَجَاحًا	
كبيرا	كَبِيرًا	كَبِيرًا	
،	،	،	
إذ	إِذْ	إِذْ	
أسلم	أَسْلَمَ	أَسْلَمَ	
على	عَلَى	عَلَى	
يديه	يَدَيْهِ	يَدَيْهِ	
ملايين	مَلَايِينُ	مَلَايِينُ	
الأفارقة	الْأَفَارِقَةِ	الْأَفَارِقَةِ	
.	.	.	
كما	كَمَا	كَمَا	
أمضى	أَمْضَى	أَمْضَى	
الكثير	الْكَثِيرَ	الْكَثِيرَ	
من	مِنْ	مِنَ	
السنوات	السَّنَوَاتِ	السَّنَوَاتِ	
يتنقل	يَتَنَقَّلُ	يَتَنَقَّلُ	
في	فِي	فِي	
الدول	الدُّوَلِ	الدُّوَلِ	
الأفريقية	الْأَفْرِيقِيَّةِ	الْأَفْرِيقِيَّةِ	
مثل	مِثْلِ	مِثْلِ	
مالاوي	مَالَاوِي	مَالَاوِي	
والكونغو	وَالْكُونْغُو	وَالْكُونْغُو	
والسنغال	وَالسِّنْغَالِ	وَالسِّنْغَالِ	وَالسِّنِغَالْ
والنيجر	وَالنَّيْجَرِ	وَالنَّيْجَرِ	وَالنَّيْجَرْ
وسيراليون	وَسِيرَالْيُونَ	وَسِيرَالْيُونَ	وَسِيرَالِيُونْ
وغيرها	وَغَيْرِهَا	وَغَيْرِهَا	
،	،	،	
بالإضافة	بِالْإِضَافَةِ	بِالْإِضَافَةِ	
إلى	إِلَى	إِلَى	
جنوب	جَنُوبِ	جَنُوبِ	
شرق	شَرْقِ	شَرْقِ	
آسيا	آسْيَا	آسْيَا	آسِيَا
داعيا	دَاعِيًا	دَاعِيًا	
إلى	إِلَى	إِلَى	
الإسلام	الْإِسْلَامِ	الْإِسْلَامِ	
ومتطوعا	وَمُتَطَوِّعًا	وَمُتَطَوِّعًا	
في	فِي	فِي	
الأعمال	الْأَعْمَالِ	الْأَعْمَالِ	
الخيرية	الْخَيْرِيَّةِ	الْخَيْرِيَّةِ	
.	.	.	
وقد	وَقَدْ	وَقَدْ	
نعي	نُعِيَ	نُعِيَ	
الشيخ	الشَّيْخُ	الشَّيْخُ	
عبد	عَبْدُ	عَبْدُ	
الرحمن	الرَّحْمَنِ	الرَّحْمَٰنِ	
السميط	السِّمِيطِ	السِّمِيطِ	
من	مِنْ	مِنْ	
قبل	قِبَلِ	قِبَلِ	
عدة	عِدَّةِ	عِدَّةِ	
مسؤولين	مَسْؤُولِينَ	مَسْؤُولِينَ	
كويتيين	كُوَيْتِيِّينَ	كُوَيْتِيِّينَ	
مثل	مِثْلِ	مِثْلِ	
النائب	النَّائِبِ	النَّائِبِ	
محمد	مُحَمَّدِ	مُحَمَّدِ	
الحويلة	الْحُوِيلَةِ	الْحُوِيلَةِ	
والوزير	وَالْوَزِيرِ	وَالْوَزِيرِ	
والنائب	وَالنَّائِبِ	وَالنَّائِبِ	
السابق	السَّابِقِ	السَّابِقِ	
حسين	حُسَيْنِ	حُسَيْنِ	
الحريتي	الْحِرِيتِي	الْحِرِيتِي	
،	،	،	
والنائب	وَالنَّائِبِ	وَالنَّائِبِ	
طلال	طَلَالِ	طَلَالِ	
الجلال	الْجَلَالِ	الْجَلَالِ	
،	،	،	
والنائب	وَالنَّائِبِ	وَالنَّائِبِ	
منصور	مَنْصُورِ	مَنْصُورِ	
الظفيري	الظُّفِيرِي	الظُّفِيرِي	
،	،	،	
ورئيس	وَرَئِيسِ	وَرَئِيسِ	
مجلس	مَجْلِسِ	مَجْلِسِ	
الأمة	الْأُمَّةِ	الْأُمَّةِ	
مرزوق	مَرْزُوقِ	مَرْزُوقِ	
الغانم	الْغَانِمِ	الْغَانِمِ	
.	.	.	
			
مقتل	مَقْتَلُ	مَقْتَلُ	
28	28	28	
شخصا	شَخْصًا	شَخْصًا	
في	فِي	فِي	
بنغلاديش	بَنْغَلَادِيشَ	بَنْغَلَادِيشَ	بَنْغْلَادِيشَ
خلال	خِلَالَ	خِلَالَ	
مظاهرات	مُظَاهَرَاتٍ	مُظَاهَرَاتٍ	
مطالبة	مُطَالِبَةٍ	مُطَالِبَةٍ	
بقانون	بِقَانُونٍ	بِقَانُونٍ	
يجرم	يُجَرِّمُ	يُجَرِّمُ	
"	"	"	
الكفر	الْكُفْرَ	اَلْكُفْرَ	
"	"	"	
			
انطلقت	انْطَلَقَتْ	اِنْطَلَقَتْ	
في	فِي	فِي	
دكا	دَكَّا	دَكَّا	
عاصمة	عَاصِمَةِ	عَاصِمَةِ	
بنغلاديش	بَنْغَلَادِيشَ	بَنْغَلَادِيشَ	بَنْغْلَادِيشَ
بعد	بَعْدَ	بَعْدَ	
ظهر	ظُهْرِ	ظُهْرِ	
أمس	أَمْسِ	أَمْسِ	
الأحد	الْأَحَدِ	الْأَحَدِ	
مظاهرات	مُظَاهَرَاتٌ	مُظَاهَرَاتٌ	
تطالب	تُطَالِبُ	تُطَالِبُ	
الحكومة	الْحُكُومَةَ	الْحُكُومَةَ	
باشتراع	بِاشْتِرَاعِ	بِاشْتِرَاعِ	
قانون	قَانُونٍ	قَانُونٍ	
يجرم	يُجَرِّمُ	يُجَرِّمُ	
"	"	"	
الكفر	الْكُفْرَ	اَلْكُفْرَ	
"	"	"	
حيث	حَيْثُ	حَيْثُ	
أغلق	أَغْلَقَ	أَغْلَقَ	
ما	مَا	مَا	
بين	بَيْنَ	بَيْنَ	
مئة	مِئَةٍ	مِئَةٍ	
ومئتي	وَمِئَتَيْ	وَمِئَتَيْ	
ألف	أَلْفِ	أَلْفِ	
متظاهر	مُتَظَاهِرٍ	مُتَظَاهِرٍ	
الطرقات	الطُّرُقَاتِ	الطُّرُقَاتِ	
السريعة	السَّرِيعَةَ	السَّرِيعَةَ	
وتصادموا	وَتَصَادَمُوا	وَتَصَادَمُوا	
مع	مَعَ	مَعَ	
الشرطة	الشُّرْطَةِ	الشُّرْطَةِ	
،	،	،	
واستمرت	وَاسْتَمَرَّتْ	وَاسْتَمَرَّتِ	
الاضطرابات	الِاضْطِرَابَاتُ	الِاضْطِرَابَاتُ	
حتى	حَتَّى	حَتَّى	
صباح	صَبَاحِ	صَبَاحِ	
اليوم	الْيَوْمِ	الْيَوْمِ	
الإثنين	الْإِثْنَيْنِ	الْإِثْنَيْنِ	
حين	حِينَ	حِينَ	
بدأت	بَدَأَتْ	بَدَأَتْ	
قوات	قُوَّاتُ	قُوَّاتُ	
الشرطة	الشُّرْطَةِ	الشُّرْطَةِ	
والجيش	وَالْجَيْشِ	وَالْجَيْشِ	
حملة	حَمَلَةً	حَمَلَةً	حَمْلَةً
لتفريق	لِتَفْرِيقِ	لِتَفْرِيقِ	
أكثر	أَكْثَرَ	أَكْثَرَ	
من	مِنْ	مِنْ	
70	70	70	
ألف	أَلْفَ	أَلْفَ	
متظاهر	مُتَظَاهِرٍ	مُتَظَاهِرٍ	
احتلوا	احْتَلُّوا	احْتَلُّوا	
حيا	حَيًّا	حَيًّا	
تجاريا	تِجَارِيًّا	تِجَارِيًّا	
في	فِي	فِي	
وسط	وَسَطِ	وَسَطِ	
العاصمة	الْعَاصِمَةِ	الْعَاصِمَةِ	
مستعملين	مُسْتَعْمِلِينَ	مُسْتَعْمِلِينَ	
قنابل	قَنَابِلَ	قَنَابِلَ	
صوتية	صَوْتِيَّةً	صَوْتِيَّةً	
والغاز	وَالْغَازَ	وَالْغَازَ	
المسيل	الْمُسِيلَ	الْمُسِيلَ	
للدموع	لِلدُّمُوعِ	لِلدُّمُوعِ	
والرصاص	وَالرَّصَاصَ	وَالرَّصَاصَ	
المطاطي	الْمَطَّاطِيَّ	الْمَطَّاطِيَّ	
.	.	.	
وأدت	وَأَدَّتْ	وَأَدَّتِ	
المواجهات	الْمُوَاجَهَاتُ	الْمُوَاجَهَاتُ	
إلى	إِلَى	إِلَى	
مقتل	مَقْتَلِ	مَقْتَلِ	
28	28	28	
شخصا	شَخْصًا	شَخْصًا	
على	عَلَى	عَلَى	
الأقل	الْأَقَلِّ	الْأَقَلِّ	
بينهم	بَيْنَهُمْ	بَيْنَهُمْ	
شرطي	شُرْطِيٌّ	شُرْطِيٌّ	
واحد	وَاحِدٌ	وَاحِدٌ	
،	،	،	
وجرح	وَجَرْحِ	وَجَرْحِ	وَجُرْحِ
العشرات	الْعَشَرَاتِ	الْعَشَرَاتِ	
،	،	،	
فمنعت	فَمَنَعَتْ	فَمَنَعَتْ	
وزارة	وِزَارَةُ	وِزَارَةُ	
الداخلية	الدَّاخِلِيَّةِ	الدَّاخِلِيَّةِ	
مؤقتا	مُؤَقَّتًا	مُؤَقَّتًا	
أي	أَيَّ	أَيَّ	
تجمعات	تَجَمُّعَاتٍ	تَجَمُّعَاتٍ	
داخل	دَاخِلَ	دَاخِلَ	
العاصمة	الْعَاصِمَةِ	الْعَاصِمَةِ	
.	.	.	
			
طالب	طَالَبَ	طَالَبَ	
المتظاهرون	الْمُتَظَاهِرُونَ	الْمُتَظَاهِرُونَ	
بقيادة	بِقِيَادَةِ	بِقِيَادَةِ	
حركة	حَرَكَةِ	حَرَكَةِ	
"	"	"	
حفظة	حَفَظَةِ	حَفَظَةِ	
الإسلام	الْإِسْلَامِ	الْإِسْلَامِ	
"	"	"	
الراديكالية	الرَّادِيكَالِيَّةِ	اَلرَّادِيكَالِيَّةِ	
بقانون	بِقَانُونٍ	بِقَانُونٍ	
يعاقب	يُعَاقِبُ	يُعَاقِبُ	
"	"	"	
الكفر	الْكُفْرَ	اَلْكُفْرَ	
"	"	"	
بالإعدام	بِالْإِعْدَامِ	بِالْإِعْدَامِ	
،	،	،	
واحتلوا	وَاحْتَلُّوا	وَاحْتَلُّوا	
حيا	حَيًّا	حَيًّا	
تجاريا	تِجَارِيًّا	تِجَارِيًّا	
وسط	وَسَطَ	وَسَطَ	
العاصمة	الْعَاصِمَةِ	الْعَاصِمَةِ	
وقال	وَقَالَ	وَقَالَ	
عبد	عَبْدُ	عَبْدُ	
الرؤوف	الرَّؤُوفِ	الرَّؤُوفِ	
أحد	أَحَدُ	أَحَدُ	
زعماء	زُعَمَاءِ	زُعَمَاءِ	
الحركة	الْحَرَكَةِ	الْحَرَكَةِ	
إن	إِنَّ	إِنَّ	
المتظاهرين	الْمُتَظَاهِرِينَ	الْمُتَظَاهِرِينَ	
سيبقون	سَيَبْقَوْنَ	سَيَبْقَوْنَ	
معتصمين	مُعْتَصِمِينَ	مُعْتَصِمِينَ	
حتى	حَتَّى	حَتَّى	
تتحقق	تَتَحَقَّقَ	تَتَحَقَّقَ	
مطالبهم	مَطَالِبُهُمْ	مَطَالِبُهُمْ	
.	.	.	
وقطع	وَقَطَعَ	وَقَطَعَ	
المتظاهرون	الْمُتَظَاهِرُونَ	الْمُتَظَاهِرُونَ	
الطرقات	الطُّرُقَاتِ	الطُّرُقَاتِ	
العامة	الْعَامَّةَ	الْعَامَّةَ	
والسريعة	وَالسَّرِيعَةَ	وَالسَّرِيعَةَ	
وعرقلوا	وَعَرْقَلُوا	وَعَرْقَلُوا	
المواصلات	الْمُوَاصَلَاتِ	الْمُوَاصَلَاتِ	
بين	بَيْنَ	بَيْنَ	
العاصمة	الْعَاصِمَةِ	الْعَاصِمَةِ	
والمدن	وَالْمُدُنِ	وَالْمُدُنِ	
الأخرى	الْأُخْرَى	الْأُخْرَى	
منذ	مُنْذُ	مُنْذُ	
عصر	عَصْرِ	عَصْرِ	
الأمس	الْأَمْسِ	الْأَمْسِ	
وهاجموا	وَهَاجَمُوا	وَهَاجَمُوا	
الشرطة	الشُّرْطَةَ	الشُّرْطَةَ	
بالعصي	بِالْعِصِيِّ	بِالْعِصِيِّ	
والحجارة	وَالْحِجَارَةِ	وَالْحِجَارَةِ	
،	،	،	
وأسفرت	وَأَسْفَرَتْ	وَأَسْفَرَتْ	
مواجهات	مُوَاجَهَاتُ	مُوَاجَهَاتُ	
الأمس	الْأَمْسِ	الْأَمْسِ	
عن	عَنْ	عَنْ	
عشرة	عَشَرَةِ	عَشَرَةِ	
قتلى	قَتْلَى	قَتْلَى	
.	.	.	
			
ومن	وَمِنْ	وَمِنْ	
جانبها	جَانِبِهَا	جَانِبِهَا	
،	،	،	
أكدت	أَكَّدَتْ	أَكَّدَتْ	
رئيسة	رَئِيسَةُ	رَئِيسَةُ	
وزراء	وُزَرَاءِ	وُزَرَاءِ	
بنغلاديش	بَنْغَلَادِيشَ	بَنْغَلَادِيشَ	بَنْغْلَادِيشَ
شيخة	شَيْخَةُ	شَيْخَةُ	
حسينة	حُسَيْنَةُ	حُسَيْنَةُ	
واجد	وَاجِدٍ	وَاجِدٍ	
أن	أَنَّ	أَنَّ	
القوانين	الْقَوَانِينَ	الْقَوَانِينَ	
الموجودة	الْمَوْجُودَةَ	الْمَوْجُودَةَ	
فيها	فِيهَا	فِيهَا	
ما	مَا	مَا	
يلزم	يَلْزَمُ	يَلْزَمُ	
لمعالجة	لِمُعَالَجَةِ	لِمُعَالَجَةِ	
ما	مَا	مَا	
أثاره	أَثَارَهُ	أَثَارَهُ	
المتظاهرون	الْمُتَظَاهِرُونَ	الْمُتَظَاهِرُونَ	
من	مِنْ	مِنْ	
مطالب	مَطَالِبَ	مَطَالِبَ	
،	،	،	
وشددت	وَشَدَّدَتْ	وَشَدَّدَتْ	
على	عَلَى	عَلَى	
أن	أَنَّ	أَنَّ	
الحكومة	الْحُكُومَةَ	الْحُكُومَةَ	
"	"	"	
لن	لَنْ	لَنْ	
تسمح	تَسْمَحَ	تَسْمَحَ	
بأي	بِأَيِّ	بِأَيِّ	
فوضى	فَوْضَى	فَوْضَى	
باسم	بِاسْمِ	بِاسْمِ	
الإسلام	الْإِسْلَامِ	الْإِسْلَامِ	
،	،	،	
دين	دِينِ	دِينِ	
السلام	السَّلَامِ	السَّلَامِ	
"	"	"	
.	.	.	
			
وظهرت	وَظَهَرَتْ	وَظَهَرَتْ	
في	فِي	فِي	
وسائل	وَسَائِلِ	وَسَائِلِ	
الإعلام	الْإِعْلَامِ	الْإِعْلَامِ	
مشاهد	مَشَاهِدُ	مَشَاهِدُ	
الشرطة	الشُّرْطَةِ	الشُّرْطَةِ	
وهي	وَهِيَ	وَهِيَ	
تطلق	تُطْلِقُ	تُطْلِقُ	
الغاز	الْغَازَ	الْغَازَ	
المسيل	الْمُسِيلَ	الْمُسِيلَ	
للدموع	لِلدُّمُوعِ	لِلدُّمُوعِ	
والرصاص	وَالرَّصَاصَ	وَالرَّصَاصَ	
على	عَلَى	عَلَى	
المتظاهرين	الْمُتَظَاهِرِينَ	الْمُتَظَاهِرِينَ	
،	،	،	
والمتظاهرين	وَالْمُتَظَاهِرِينَ	وَالْمُتَظَاهِرِينَ	
الذين	الَّذِينَ	الَّذِينَ	
يرمون	يَرْمُونَ	يَرْمُونَ	
عناصر	عَنَاصِرَ	عَنَاصِرَ	
الشرطة	الشُّرْطَةِ	الشُّرْطَةِ	
بالحجارة	بِالْحِجَارَةِ	بِالْحِجَارَةِ	
ويضربون	وَيَضْرِبُونَ	وَيَضْرِبُونَ	
رجال	رِجَالَ	رِجَالَ	
